21398304,Игровой Компьютер Robotcomp Анаконда V2,83120.0,5,0,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,512,NVIDIA GeForce RTX 3060,415600.0,10
21402635,Игровой Компьютер Robotcomp Анаконда V3,86141.0,30,16,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,512,NVIDIA GeForce RTX 3060,2584230.0,10
21477918,Компьютер Robotcomp Проектировщик V1,76942.0,10,4,Robotcomp,4.7,Intel Core i7,DDR 4,16,1000,512,NVIDIA GeForce GT 1030,769420.0,12
21479215,Компьютер Robotcomp Проектировщик V2,83886.0,5,1,Robotcomp,4.7,Intel Core i7,DDR 4,16,1000,512,NVIDIA GeForce GT 1030,419430.0,12
21479441,Компьютер Robotcomp Проектировщик V3,87566.0,5,4,Robotcomp,4.7,Intel Core i7,DDR 4,16,1000,512,NVIDIA GeForce GT 1030,437830.0,12
21516443,Мощный игровой компьютер Robotcomp Борей V3,103062.0,40,14,Robotcomp,4.7,Intel Core i7,DDR 4,16,1000,512,NVIDIA GeForce RTX 3060,4122480.0,12
21516725,Мощный игровой компьютер Robotcomp Борей V2,117108.0,100,38,Robotcomp,4.7,Intel Core i7,DDR 4,16,1000,512,NVIDIA GeForce RTX 3060,11710800.0,12
22365312,Игровой Компьютер Robotcomp ZERO V2,81936.0,10,4,Robotcomp,4.7,AMD Ryzen 5,DDR 4,32,1000,512,NVIDIA GeForce RTX 3060,819360.0,6
22365755,Игровой Компьютер Robotcomp ZERO V3,87141.0,30,4,Robotcomp,4.7,AMD Ryzen 5,DDR 4,32,1000,512,NVIDIA GeForce RTX 3060,2614230.0,6
22930599,Игровой Компьютер Robotcomp КАЛИБР V2,114308.0,5,2,Robotcomp,4.7,Intel Core i7,DDR 4,32,2000,512,NVIDIA GeForce RTX 3060,571540.0,12
22931659,Игровой Компьютер Robotcomp КАЛИБР V3,122457.0,80,17,Robotcomp,4.7,Intel Core i7,DDR 4,32,2000,512,NVIDIA GeForce RTX 3060,9796560.0,12
24799163,Офисный Компьютер Robotcomp Премьер V2,118271.0,5,0,Robotcomp,4.7,Intel Core i9,DDR 4,32,1000,1000,intel UHD Graphics 750,591355.0,16
24799818,Офисный Компьютер Robotcomp Премьер V3,124652.0,5,1,Robotcomp,4.7,Intel Core i9,DDR 4,32,1000,1000,intel UHD Graphics 750,623260.0,16
24832763,Игровой Компьютер Robotcomp Симпл V1,28053.0,10,3,Robotcomp,4.7,AMD Ryzen 3,DDR 4,8,0,480,AMD Radeon Vega 3,280530.0,2
24851454,Игровой Компьютер Robotcomp Симпл V2,36185.0,5,0,Robotcomp,4.7,AMD Ryzen 3,DDR 4,8,0,480,AMD Radeon Vega 3,180925.0,2
24852113,Игровой Компьютер Robotcomp Симпл V3,32426.0,5,2,Robotcomp,4.7,AMD Ryzen 3,DDR 4,8,0,480,AMD Radeon Vega 3,162130.0,2
25561253,Игровой Компьютер Robotcomp ТРИУМФ V2,85204.0,40,13,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,512,NVIDIA GeForce RTX 3060,3408160.0,6
25606998,Игровой Компьютер Robotcomp ТРИУМФ V3,78893.0,5,1,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,512,NVIDIA GeForce RTX 3060,394465.0,6
25611959,Игровой Компьютер Robotcomp Stinger V1,53664.0,5,3,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,480,NVIDIA GeForce GT 1030,268320.0,6
25612222,Игровой Компьютер Robotcomp Stinger V2,53981.0,10,4,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,480,NVIDIA GeForce GT 1030,539810.0,6
25612496,Игровой Компьютер Robotcomp Stinger V3,58584.0,5,1,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,480,NVIDIA GeForce GT 1030,292920.0,6
25616528,Игровой Компьютер Robotcomp F22 Raptor 2.0 V1,59912.0,20,5,Robotcomp,4.7,Intel Core i3,DDR 4,16,0,960,NVIDIA GeForce GTX 1660,1198240.0,4
25616606,Игровой Компьютер Robotcomp F22 Raptor 2.0 V2,65450.0,5,1,Robotcomp,4.7,Intel Core i3,DDR 4,16,0,960,NVIDIA GeForce GTX 1660,327250.0,4
25616723,Игровой Компьютер Robotcomp F22 Raptor 2.0 V3,70959.0,5,0,Robotcomp,4.7,Intel Core i3,DDR 4,16,0,960,NVIDIA GeForce GTX 1660,354795.0,4
25968600,Игровой Компьютер Robotcomp Старт V1,30760.0,500,148,Robotcomp,4.7,Intel Core i3,DDR 4,8,0,480,NVIDIA GeForce GT 1030,15380000.0,4
25968730,Игровой Компьютер Robotcomp Старт V2,32851.0,80,30,Robotcomp,4.7,Intel Core i3,DDR 4,8,0,480,NVIDIA GeForce GT 1030,2628080.0,4
26001501,Игровой Компьютер Robotcomp Старт V3,35238.0,50,13,Robotcomp,4.7,Intel Core i3,DDR 4,8,0,480,NVIDIA GeForce GT 1030,1761900.0,4
29079232,Компьютер,16005.0,5,0,Market-77.ru,4.3,Gemini Lake Refresh J4115,DDR 4,6,0,128,Intel HD Graphics 6000,80025.0,4
29092367,"Компьютер Chuwi Herobox 8/256 Гб / Мини ПК, неттоп игровой",20209.0,10,3,Market-77.ru,4.3,не заполнено,DDR 4,8,0,256,Intel UHD Graphics 600,202090.0,4
32021475,Мини-ПК (неттоп)/ Beelink GK mini/ 8Гб/256Гб/ Windows 10,16005.0,30,5,Market-77.ru,4.3,Gemini Lake Refresh J4125,DDR 4,8,0,256,Intel HD Graphics 600,480150.0,4
36404916,Игровой компьютер Robotcomp M16 2.0 Magic Red V1 vs RTX 3050,79385.0,0,0,Robotcomp,4.7,Intel Core 12400F,DDR 4,16,0,960,NVIDIA GeForce RTX 3050,0.0,6
36414998,Игровой компьютер Robotcomp M16 2.0 Magic Red V2 vs RTX 3050,85177.0,5,1,Robotcomp,4.7,Intel Core 12400F,DDR 4,16,0,960,NVIDIA GeForce RTX 3050,425885.0,6
36416268,Игровой компьютер Robotcomp M16 2.0 Magic Red V3 vs RTX 3050,89113.0,0,0,Robotcomp,4.7,Intel Core 12400F,DDR 4,16,0,960,NVIDIA GeForce RTX 3050,0.0,6
36421296,Рюкзак HP Renew 15 Navy Backpack,11283.0,0,0,AXXES,0.0,не заполнено,не заполнено,0,0,0,не заполнено,0.0,0
36421504,Сумки для ноутбуков HP Commuter Black Backpack,5935.0,0,0,AXXES,0.0,не заполнено,не заполнено,0,0,0,не заполнено,0.0,0
37982087,Компьютер,777.0,5,0,САТЕЛЛИТ,4.7,не заполнено,не заполнено,0,0,0,не заполнено,3885.0,0
37982255,Компьютер,662.0,5,0,САТЕЛЛИТ,4.7,не заполнено,не заполнено,0,0,0,не заполнено,3310.0,0
